id,category,name,price,reference_price,reference_unit,date
53,lechuga_y_ensalada_preparada,Ensalada mezcla 4 estaciones,0.6,2.4,kg,2020-07-21 12:06:00
54,lechuga_y_ensalada_preparada,Lechugas corazón romana,1.6,0.8,ud,2020-07-21 12:06:00
55,lechuga_y_ensalada_preparada,Ensalada mezcla brotes tiernos,0.99,9.9,kg,2020-07-21 12:06:00
56,lechuga_y_ensalada_preparada,Canónigos base para ensalada,1.19,9.52,kg,2020-07-21 12:06:00
57,lechuga_y_ensalada_preparada,Lechuga iceberg base para ensalada,0.87,3.48,kg,2020-07-21 12:06:00
58,lechuga_y_ensalada_preparada,Ensalada mezcla gourmet,0.99,5.66,kg,2020-07-21 12:06:00
59,lechuga_y_ensalada_preparada,Cogollos de lechuga,1,0.33,ud,2020-07-21 12:06:00
60,lechuga_y_ensalada_preparada,Lechuga corazón romana,1.1,1.1,ud,2020-07-21 12:06:00
61,lechuga_y_ensalada_preparada,Endibias,1.42,2.84,kg,2020-07-21 12:06:00
62,lechuga_y_ensalada_preparada,Ensalada mezcla brotes tiernos maxi,1.7,9.71,kg,2020-07-21 12:06:00
63,lechuga_y_ensalada_preparada,Ensalada mezcla gourmet maxi,1.65,5.5,kg,2020-07-21 12:06:00
64,lechuga_y_ensalada_preparada,Ensalada mezcla tierna,1.15,7.67,kg,2020-07-21 12:06:00
65,lechuga_y_ensalada_preparada,Rúcula base para ensalada,1,20,kg,2020-07-21 12:06:00
66,lechuga_y_ensalada_preparada,Cogollos corazón de lechuga,1.85,0.31,ud,2020-07-21 12:06:00
67,lechuga_y_ensalada_preparada,Ensalada mezcla primavera,1,5,kg,2020-07-21 12:06:00
68,lechuga_y_ensalada_preparada,Ensalada mezcla dúo canónigos y rúcula,1.35,13.5,kg,2020-07-21 12:06:00
69,lechuga_y_ensalada_preparada,Ensalada mezcla fresca,0.9,4.5,kg,2020-07-21 12:06:00
70,lechuga_y_ensalada_preparada,Lechuga hoja roble,1.2,1.2,ud,2020-07-21 12:06:00
71,lechuga_y_ensalada_preparada,Escarola rizada base para ensalada,1.15,7.67,kg,2020-07-21 12:06:00
72,lechuga_y_ensalada_preparada,Escarola rizada,1.45,1.45,ud,2020-07-21 12:06:00
73,lechuga_y_ensalada_preparada,Espinaca baby base para ensalada,1.19,11.9,kg,2020-07-21 12:06:00
74,lechuga_y_ensalada_preparada,Lechuga romana cortada,1.1,5.5,kg,2020-07-21 12:06:00
75,lechuga_y_ensalada_preparada,Ensalada César,1.99,9.48,kg,2020-07-21 12:06:00
76,lechuga_y_ensalada_preparada,Ensalada California,2.19,11.41,kg,2020-07-21 12:06:00
77,lechuga_y_ensalada_preparada,Wraps Texas,2.6,8.67,kg,2020-07-21 12:06:00
78,lechuga_y_ensalada_preparada,Ensalada ensalight,2.4,10.43,kg,2020-07-21 12:06:00
79,lechuga_y_ensalada_preparada,Ensalada de la casa,1.79,4.48,kg,2020-07-21 12:06:00
80,lechuga_y_ensalada_preparada,Ensalada mil islas,2.35,7.12,kg,2020-07-21 12:06:00
81,lechuga_y_ensalada_preparada,Ensalada ensatún,2.4,9.6,kg,2020-07-21 12:06:00
82,lechuga_y_ensalada_preparada,Ensalada jamón,2.4,11.16,kg,2020-07-21 12:06:00
83,lechuga_y_ensalada_preparada,Ensalada de pasta,2.4,9.6,kg,2020-07-21 12:06:00
84,verdura,Patata,0.4,1.55,kg,2020-07-21 12:06:00
85,verdura,Patatas,4.21,1.4,kg,2020-07-21 12:06:00
86,verdura,Patatas rojas,2.49,1.25,kg,2020-07-21 12:06:00
87,verdura,Patatas,4.99,1,kg,2020-07-21 12:06:00
88,verdura,Patatas guarnición,1.8,1.8,kg,2020-07-21 12:06:00
89,verdura,Batata,1.01,2.4,kg,2020-07-21 12:06:00
90,verdura,Cebollas tiernas,1.25,0.42,ud,2020-07-21 12:06:00
91,verdura,Cebollas nuevas,1.7,0.85,kg,2020-07-21 12:06:00
92,verdura,Cebollas,1.3,1.3,kg,2020-07-21 12:06:00
93,verdura,Ajos morados,1.3,5.2,kg,2020-07-21 12:06:00
94,verdura,Cebollas dulces,1.99,1.99,kg,2020-07-21 12:06:00
95,verdura,Ajos morados,1.95,4.88,kg,2020-07-21 12:06:00
96,verdura,Cebollas rojas,1.15,2.3,kg,2020-07-21 12:06:00
97,verdura,Yuca,1.35,2.25,kg,2020-07-21 12:06:00
98,verdura,Ajo negro dientes pelados,3.99,46.94,kg,2020-07-21 12:06:00
99,verdura,Chalotas,1.25,5,kg,2020-07-21 12:06:00
100,verdura,Picada de ajo y Perejil,1.39,13.9,kg,2020-07-21 12:06:00
101,verdura,Tomate ensalada,0.39,1.79,kg,2020-07-21 12:06:00
102,verdura,Tomate canario,0.28,1.39,kg,2020-07-21 12:06:00
103,verdura,Tomate pera,0.29,1.59,kg,2020-07-21 12:06:00
104,verdura,Tomates mini kumato,1.39,4.63,kg,2020-07-21 12:06:00
105,verdura,Tomates cherry,1.49,2.98,kg,2020-07-21 12:06:00
106,verdura,Tomates cherry en rama Dulcita,1.99,9.95,kg,2020-07-21 12:06:00
107,verdura,Tomates pera,1.55,1.55,kg,2020-07-21 12:06:00
108,verdura,Tomates kumato,1.99,1.99,kg,2020-07-21 12:06:00
109,verdura,Tomates,2.6,1.3,kg,2020-07-21 12:06:00
110,verdura,Tomate kumato negro,0.29,2.39,kg,2020-07-21 12:06:00
111,verdura,Tomate rallado Bonnysa,1.29,4.45,kg,2020-07-21 12:06:00
112,verdura,Tomate seco,1.79,22.38,kg,2020-07-21 12:06:00
113,verdura,Tomates en rama,1.72,1.79,kg,2020-07-21 12:06:00
114,verdura,Tomate valenciano,1.22,3.49,kg,2020-07-21 12:06:00
115,verdura,Zanahorias,0.69,0.69,kg,2020-07-21 12:06:00
116,verdura,Pepino,0.36,1.49,kg,2020-07-21 12:06:00
117,verdura,Pepino holandés,0.85,1.99,kg,2020-07-21 12:06:00
118,verdura,Zanahorias,0.58,1.15,kg,2020-07-21 12:06:00
119,verdura,Pepinos,1.59,1.27,kg,2020-07-21 12:06:00
120,verdura,Palitos de zanahoria,1.49,8.28,kg,2020-07-21 12:06:00
121,verdura,Zanahoria rallada base para ensalada,0.75,5,kg,2020-07-21 12:06:00
122,verdura,Pimiento rojo,0.61,2.1,kg,2020-07-21 12:06:00
123,verdura,Calabacín verde,0.57,1.39,kg,2020-07-21 12:06:00
124,verdura,Pimiento verde freír,0.2,1.79,kg,2020-07-21 12:06:00
125,verdura,Calabacín blanco,0.63,1.79,kg,2020-07-21 12:06:00
126,verdura,Pimiento verde,0.55,2.29,kg,2020-07-21 12:06:00
127,verdura,"Pimientos tricolor rojo, amarillo y verde",1.79,2.98,kg,2020-07-21 12:06:00
128,verdura,Pimientos semipicantes,1.15,4.6,kg,2020-07-21 12:06:00
129,verdura,Coliflor,2.25,1.99,kg,2020-07-21 12:06:00
130,verdura,Repollo liso,1.39,1,kg,2020-07-21 12:06:00
131,verdura,Medio repollo liso,1.01,1.3,kg,2020-07-21 12:06:00
132,verdura,Repollo rizado,1.36,1.15,kg,2020-07-21 12:06:00
133,verdura,Medio repollo rizado,0.84,1.45,kg,2020-07-21 12:06:00
134,verdura,Col lombarda,1.48,1.2,kg,2020-07-21 12:06:00
135,verdura,Media col lombarda,0.84,1.45,kg,2020-07-21 12:06:00
136,verdura,Champiñón pequeño,1.17,3.89,kg,2020-07-21 12:06:00
137,verdura,Champiñón laminado limpio,1.6,5,kg,2020-07-21 12:06:00
138,verdura,Seta,1.78,7.1,kg,2020-07-21 12:06:00
139,verdura,Champiñón grande,1.84,4.29,kg,2020-07-21 12:06:00
140,verdura,Seta laminada,1.23,4.9,kg,2020-07-21 12:06:00
141,verdura,Champiñón Portobello,1.74,5.8,kg,2020-07-21 12:06:00
142,verdura,Setas al plato con perejil,2.88,14.4,kg,2020-07-21 12:06:00
143,verdura,Salteado de setas laminadas,1.72,6.89,kg,2020-07-21 12:06:00
144,verdura,Seta shiitake,2.45,12.25,kg,2020-07-21 12:06:00
145,verdura,Perejil troceado,0.7,1.75,100 g,2020-07-21 12:06:00
146,verdura,Jengibre,0.96,4.8,kg,2020-07-21 12:06:00
147,verdura,Cilantro,1.15,5.75,100 g,2020-07-21 12:06:00
148,verdura,Hierbabuena,1.15,16.43,kg,2020-07-21 12:06:00
149,verdura,Cebollino,1.15,5.75,100 g,2020-07-21 12:06:00
150,verdura,Romero,1.15,5.75,100 g,2020-07-21 12:06:00
151,verdura,Espinacas cortadas,1,3.33,kg,2020-07-21 12:06:00
152,verdura,Brócoli,1.16,2.89,kg,2020-07-21 12:06:00
153,verdura,Berenjena,0.66,1.79,kg,2020-07-21 12:06:00
154,verdura,Berenjena rayada,0.7,1.99,kg,2020-07-21 12:06:00
155,verdura,Judía verde plana,2.49,3.32,kg,2020-07-21 12:06:00
156,verdura,Judía verde plana,345.51,3.49,kg,2020-07-21 12:06:00
157,verdura,Puerros,2.06,2.29,kg,2020-07-21 12:06:00
158,verdura,Alcachofa,0.6,3.5,kg,2020-07-21 12:06:00
159,verdura,Judía verde redonda,1.8,3.6,kg,2020-07-21 12:06:00
160,verdura,Calabaza cacahuete cortada a trozos,1.71,3.1,kg,2020-07-21 12:06:00
161,verdura,Apio verde,1.42,2.15,kg,2020-07-21 12:06:00
162,verdura,Verdura para cocido,1.13,1.26,kg,2020-07-21 12:06:00
163,verdura,Espárrago verde fino,2.15,8.6,kg,2020-07-21 12:06:00
164,verdura,Rabanitos,1.1,4.4,kg,2020-07-21 12:06:00
165,verdura,Remolacha cocida y pelada,0.75,1.67,kg,2020-07-21 12:06:00
166,verdura,Acelgas,1.8,2.25,kg,2020-07-21 12:06:00
167,verdura,Nabicol,0.85,3.4,kg,2020-07-21 12:06:00
168,verdura,Maíz dulce en mazorca cocido,1.1,2.75,kg,2020-07-21 12:06:00
169,verdura,Calabaza cacahuete,1.59,1.25,kg,2020-07-21 12:06:00
170,verdura,Media calabaza cacahuete,1.01,1.55,kg,2020-07-21 12:06:00
171,verdura,Chirivía,0.68,3.4,kg,2020-07-21 12:06:00
172,verdura,Bimi,1.99,9.95,kg,2020-07-21 12:06:00
173,verdura,Nabo,0.78,3.4,kg,2020-07-21 12:06:00
174,verdura,Espárrago verde grueso,2.99,9.97,kg,2020-07-21 12:06:00
175,verdura,Maíz dulce,1.99,1,ud,2020-07-21 12:06:00
176,verdura,Floretas de brócoli para micro,1.2,5.22,kg,2020-07-21 12:06:00
177,verdura,Mix de verduras paisana,1.35,4.5,kg,2020-07-21 12:06:00
178,verdura,Sopa juliana para micro,1.15,2.88,kg,2020-07-21 12:06:00
179,verdura,Patata para micro,1.1,2.75,kg,2020-07-21 12:06:00
180,verdura,Batata para micro,1.8,4.5,kg,2020-07-21 12:06:00
181,verdura,Mix de verduras jardinera,1.45,3.63,kg,2020-07-21 12:06:00
182,pescado_fresco,Calamar pequeño sin limpiar descongelado,0.24,5.95,kg,2020-07-21 12:06:00
183,pescado_fresco,Calamar pequeño limpio descongelado sin barquilla y sin tripa,0.24,5.95,kg,2020-07-21 12:06:00
184,pescado_fresco,Calamar mediano sin limpiar descongelado,1.09,9.95,kg,2020-07-21 12:06:00
185,pescado_fresco,Calamar mediano limpio descongelado sin barquilla y sin tripa,1.09,9.95,kg,2020-07-21 12:06:00
186,pescado_fresco,Calamar grande sin limpiar descongelado,4,12.5,kg,2020-07-21 12:06:00
187,pescado_fresco,Calamar grande limpio descongelado sin barquilla y sin tripa,4,12.5,kg,2020-07-21 12:06:00
188,pescado_fresco,Sepia descongelada,7.77,10.95,kg,2020-07-21 12:06:00
189,pescado_fresco,Tiras de potón descongeladas,589.05,5.95,kg,2020-07-21 12:06:00
190,pescado_fresco,Boquerón sin limpiar,0.99,4.95,kg,2020-07-21 12:06:00
191,pescado_fresco,Boquerón limpio,0.99,4.95,kg,2020-07-21 12:06:00
192,pescado_fresco,Sardina sin limpiar,1.39,6.95,kg,2020-07-21 12:06:00
193,pescado_fresco,Sardina limpia,1.74,6.95,kg,2020-07-21 12:06:00
194,pescado_fresco,Morralla,688.05,6.95,kg,2020-07-21 12:06:00
195,pescado_fresco,Lenguado sin cabeza y sin piel,2.37,16.95,kg,2020-07-21 12:06:00
196,pescado_fresco,Lenguado sin limpiar,2.37,16.95,kg,2020-07-21 12:06:00
197,pescado_fresco,Corvina limpia con cabeza,10.41,7.95,kg,2020-07-21 12:06:00
198,pescado_fresco,Corvina abierta a la espalda con espinas y con cabeza,10.41,7.95,kg,2020-07-21 12:06:00
199,pescado_fresco,Corvina a filetes sin cabeza y sin espina,10.41,7.95,kg,2020-07-21 12:06:00
200,pescado_fresco,Dorada limpia con cabeza,3.27,6.95,kg,2020-07-21 12:06:00
201,pescado_fresco,Dorada abierta a la espalda con espinas y con cabeza,3.27,6.95,kg,2020-07-21 12:06:00
202,pescado_fresco,Dorada a filetes sin cabeza y sin espina,3.27,6.95,kg,2020-07-21 12:06:00
203,pescado_fresco,Dorada abierta en libro sin cabeza y sin espina,3.27,6.95,kg,2020-07-21 12:06:00
204,pescado_fresco,Dorada sin limpiar,3.27,6.95,kg,2020-07-21 12:06:00
205,pescado_fresco,Lubina limpia con cabeza,2.92,6.95,kg,2020-07-21 12:06:00
206,pescado_fresco,Lubina abierta a la espalda con espinas y con cabeza,2.92,6.95,kg,2020-07-21 12:06:00
207,pescado_fresco,Lubina a filetes sin cabeza y sin espina,2.92,6.95,kg,2020-07-21 12:06:00
208,pescado_fresco,Lubina abierta en libro sin cabeza y sin espina,2.92,6.95,kg,2020-07-21 12:06:00
209,pescado_fresco,Lubina sin limpiar,2.92,6.95,kg,2020-07-21 12:06:00
210,pescado_fresco,Trucha abierta en libro con cabeza,3.05,6.5,kg,2020-07-21 12:06:00
211,pescado_fresco,Trucha abierta en libro sin cabeza y sin espina,3.05,6.5,kg,2020-07-21 12:06:00
212,pescado_fresco,Trucha sin aletas,3.05,6.5,kg,2020-07-21 12:06:00
213,pescado_fresco,Bacalao a rodajas,13.58,7.5,kg,2020-07-21 12:06:00
214,pescado_fresco,Bacalao media pieza a rodajas,7.58,7.5,kg,2020-07-21 12:06:00
215,pescado_fresco,Bacalao abierto en libro sin cabeza y sin espina,13.58,7.5,kg,2020-07-21 12:06:00
216,pescado_fresco,Bacalao media pieza abierto en libro sin cabeza y sin espina,7.58,7.5,kg,2020-07-21 12:06:00
217,pescado_fresco,Salmón a rodajas,25.33,8.95,kg,2020-07-21 12:06:00
218,pescado_fresco,Salmón media pieza a rodajas,13.43,8.95,kg,2020-07-21 12:06:00
219,pescado_fresco,Salmón abierto en libro sin cabeza y sin espina,25.33,8.95,kg,2020-07-21 12:06:00
220,pescado_fresco,Salmón media pieza abierto en libro sin cabeza y sin espina,13.43,8.95,kg,2020-07-21 12:06:00
221,pescado_fresco,Salmón sin aletas y sin escamas,25.33,8.95,kg,2020-07-21 12:06:00
222,pescado_fresco,Salmón media pieza sin aletas y sin escamas,13.43,8.95,kg,2020-07-21 12:06:00
223,pescado_fresco,Rape a rodajas,15.42,9.95,kg,2020-07-21 12:06:00
224,pescado_fresco,Rape abierto en libro sin espina,15.42,9.95,kg,2020-07-21 12:06:00
225,pescado_fresco,Rape sin piel y sin cabeza,15.42,9.95,kg,2020-07-21 12:06:00
226,pescado_fresco,Rape sin aletas y sin dientes,15.42,9.95,kg,2020-07-21 12:06:00
227,pescado_fresco,"Rodaballo con piel, sin aletas y sin agallas",10.55,9.95,kg,2020-07-21 12:06:00
228,pescado_fresco,Rodaballo a filetes,10.55,9.95,kg,2020-07-21 12:06:00
229,pescado_fresco,Rodaballo a filetes y sin piel,10.55,9.95,kg,2020-07-21 12:06:00
230,marisco,Gambón grande congelado,886.05,8.95,kg,2020-07-21 12:06:00
231,marisco,Gambón congelado,17.9,8.95,kg,2020-07-21 12:06:00
232,marisco,Langostino cocido,985.05,9.95,kg,2020-07-21 12:06:00
233,marisco,Langostino cocido Pescanova ultracongelado,9.75,9.75,kg,2020-07-21 12:06:00
234,marisco,Preparado de paella y sopa Hacendado ultracongelado,4.14,6.04,kg,2020-07-21 12:06:00
235,marisco,Alistado pequeño congelado,1282.05,12.95,kg,2020-07-21 12:06:00
236,marisco,Alistado pequeño Hacendado congelado,12.95,12.95,kg,2020-07-21 12:06:00
237,marisco,Preparado paella de marisco Hacendado ultracongelado,3.9,7.65,kg,2020-07-21 12:06:00
238,marisco,Alistado mediano congelado,2470.05,24.95,kg,2020-07-21 12:06:00
239,marisco,Alistado mediano Hacendado congelado,24.95,24.95,kg,2020-07-21 12:06:00
240,marisco,Langostino crudo ultracongelado,940.5,9.5,kg,2020-07-21 12:06:00
241,marisco,Langostino crudo Pescanova ultracongelado,9.25,9.25,kg,2020-07-21 12:06:00
242,marisco,Colas de gambón peladas Hacendado ultracongeladas,5.5,22,kg,2020-07-21 12:06:00
243,marisco,Gamba arrocera congelada,1183.05,11.95,kg,2020-07-21 12:06:00
244,marisco,Gamba arrocera Hacendado congelada,11.95,11.95,kg,2020-07-21 12:06:00
245,marisco,Gamba pelada cruda tamaño mediano Hacendado ultracongelada,4.5,12.5,kg,2020-07-21 12:06:00
246,marisco,Camarón boreal cocido y pelado Royal Greenland ultracongelado,3.95,19.75,kg,2020-07-21 12:06:00
247,marisco,Gamba blanca cocida Hacendado ultracongelada,5.3,15.14,kg,2020-07-21 12:06:00
248,marisco,Langostino cocido y pelado Pescanova ultracongelado,3.65,18.25,kg,2020-07-21 12:06:00
249,marisco,Arreglo para paella de marisco,8,10,kg,2020-07-21 12:06:00
250,marisco,Langostino cocido,5.75,9.58,kg,2020-07-21 12:06:00
251,marisco,Langostino en su nido Vdfoodltd congelado,4.5,15,kg,2020-07-21 12:06:00
252,marisco,Langostino crudo y pelado Pescanova ultracongelado,3.25,16.25,kg,2020-07-21 12:06:00
253,marisco,Gamba pelada cruda tamaño grande Hacendado ultracongelada,5.95,16.53,kg,2020-07-21 12:06:00
254,marisco,Bocas chicas de cangrejos congeladas,1480.05,14.95,kg,2020-07-21 12:06:00
255,marisco,Cuerpos chicos de cangrejo Dimarosa congelados,1381.05,13.95,kg,2020-07-21 12:06:00
256,marisco,Nécora cocida Errigal Bay congelada,5.95,11.9,kg,2020-07-21 12:06:00
257,marisco,Cigala mediana Hacendado ultracongelada,7.95,15.9,kg,2020-07-21 12:06:00
258,marisco,Cigala grande Hacendado ultracongelada,11.95,23.9,kg,2020-07-21 12:06:00
259,marisco,Buey de mar cocido Hacendado congelado,7.25,12.08,kg,2020-07-21 12:06:00
260,marisco,Mejillón,1.95,1.95,kg,2020-07-21 12:06:00
261,marisco,Carne de mejillón de Chile cocido Hacendado ultracongelado,2.2,8,kg,2020-07-21 12:06:00
262,marisco,Mejillón de Chile cocido media concha Hacendado ultracongelado,2.85,7.92,kg,2020-07-21 12:06:00
263,marisco,Mejillón de Chile entero cocido Hacendado ultracongelado,2.6,5.78,kg,2020-07-21 12:06:00
264,marisco,Mejillón vivo y limpio,2.8,3.73,kg,2020-07-21 12:06:00
265,marisco,Almeja japonesa,7.2,14.4,kg,2020-07-21 12:06:00
266,marisco,Almeja del Pacífico Hacendado congelada,2.95,2.95,kg,2020-07-21 12:06:00
267,marisco,Almeja del pacífico Hacendado congelada,1.8,4,kg,2020-07-21 12:06:00
268,marisco,Almeja entera Mascato,2.35,3.92,kg,2020-07-21 12:06:00
269,marisco,Berberechos,5.7,11.4,kg,2020-07-21 12:06:00
270,marisco,Navaja cruda Hacendado congelada,3.5,7.78,kg,2020-07-21 12:06:00
271,marisco,Navajas,3.7,7.4,kg,2020-07-21 12:06:00
272,marisco,Cañaílla,2.6,5.2,kg,2020-07-21 12:06:00
273,marisco,Clóchina Valenciana,4.95,4.95,kg,2020-07-21 12:06:00
274,marisco,Carne de almeja Hacendado ultracongelada,2.49,12.45,kg,2020-07-21 12:06:00
275,marisco,Mejillón gordo,2.85,2.85,kg,2020-07-21 12:06:00
276,marisco,Palitos de surimi Pescanova,2.19,4.76,kg,2020-07-21 12:06:00
277,marisco,Palitos de surimi Pescanova,3.99,4.34,kg,2020-07-21 12:06:00
278,marisco,Tronquitos de surimi Pescanova ultracongelados,1.99,3.32,kg,2020-07-21 12:06:00
279,marisco,Tronquitos de surimi Pescanova ultracongelados,3.85,3.21,kg,2020-07-21 12:06:00
280,marisco,Muslitos de surimi Pescanova ultracongelados,2.15,4.78,kg,2020-07-21 12:06:00
281,marisco,Caracoles precocidos Hacendado ultracongelados,2.09,5.97,kg,2020-07-21 12:06:00
282,marisco,Surimi rallado Pescanova,1.5,8.11,kg,2020-07-21 12:06:00
283,marisco,Tallarimis Pescanova,1.95,7.8,kg,2020-07-21 12:06:00
284,pescado_en_bandeja,Rodaja de emperador,6.18,15.45,kg,2020-07-21 12:06:00
285,pescado_en_bandeja,Escalopines de salmón sin espinas,8.2,20.5,kg,2020-07-21 12:06:00
286,pescado_en_bandeja,Anguriñas de surimi Pescanova,2.19,8.76,kg,2020-07-21 12:06:00
287,pescado_en_bandeja,Anguriñas de surimi Pescanova,3.99,7.98,kg,2020-07-21 12:06:00
288,pescado_en_bandeja,Rodajas de salmón,6.6,16.5,kg,2020-07-21 12:06:00
289,pescado_en_bandeja,Bacalao al punto de sal,5.98,11.95,kg,2020-07-21 12:06:00
290,pescado_en_bandeja,Filetes de lubina,7.8,19.5,kg,2020-07-21 12:06:00
291,pescado_en_bandeja,Bacalao estilo pil pil,3.75,16.3,kg,2020-07-21 12:06:00
292,pescado_en_bandeja,Rodajas de potón a la gallega Hacendado,3.75,10.71,kg,2020-07-21 12:06:00
293,pescado_en_bandeja,Langostino cocido,5.75,9.58,kg,2020-07-21 12:06:00
294,pescado_en_bandeja,Salmón al curry Hacendado,5.5,16.92,kg,2020-07-21 12:06:00
295,pescado_en_bandeja,Elaborado de salmón y merluza,2,5.56,kg,2020-07-21 12:06:00
296,pescado_en_bandeja,Filetes de dorada,7.2,18.95,kg,2020-07-21 12:06:00
297,pescado_en_bandeja,Filete de salmón,7.2,18,kg,2020-07-21 12:06:00
298,pescado_en_bandeja,Filetes de trucha,5.22,13.05,kg,2020-07-21 12:06:00
299,pescado_en_bandeja,Pulpo cocido,7.5,30,kg,2020-07-21 12:06:00
300,pescado_en_bandeja,Anguriñas al ajillo Pescanova,2.1,8.4,kg,2020-07-21 12:06:00
301,pescado_en_bandeja,Arreglo para paella de marisco,8,10,kg,2020-07-21 12:06:00
302,pescado_en_bandeja,Salpicón de marisco,4.95,9.9,kg,2020-07-21 12:06:00
303,pescado_en_bandeja,Salmón al curry con arroz,3.5,12.73,kg,2020-07-21 12:06:00
304,pescado_en_bandeja,Huevas cocidas de merluzas Embumar,2.15,10.75,kg,2020-07-21 12:06:00
305,pescado_en_bandeja,Caracoles en salsa mediterránea,3.95,7.18,kg,2020-07-21 12:06:00
306,pescado_en_bandeja,Mejillón vivo y limpio,2.8,3.73,kg,2020-07-21 12:06:00
307,pescado_en_bandeja,Rodaja rejo cocido,4.5,18,kg,2020-07-21 12:06:00
308,pescado_en_bandeja,Plancha de salmón,16.82,19,kg,2020-07-21 12:06:00
309,pescado_en_bandeja,Filete de atún,7.28,28,kg,2020-07-21 12:06:00
310,pescado_congelado,Filetes de merluza Argentina sin piel Hacendado ultracongelados,5.95,6.13,kg,2020-07-21 12:06:00
311,pescado_congelado,Filetes de panga ultracongelados,4.7,5.22,kg,2020-07-21 12:06:00
312,pescado_congelado,Filetes de merluza del cabo sin piel Hacendado ultracongelados,3.85,6.64,kg,2020-07-21 12:06:00
313,pescado_congelado,Rodaja de emperador Hacendado congelado,3.83,14.2,kg,2020-07-21 12:06:00
314,pescado_congelado,Lomos de atún aleta amarilla Escuris ultracongelados,2.68,9.94,kg,2020-07-21 12:06:00
